"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/11/2011","74","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/12/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/13/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/14/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/15/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/16/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/17/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/18/2011","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/19/2011","39","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/20/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/21/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/22/2011","50","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/23/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/24/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/25/2011","93","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/26/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/27/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/28/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/29/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/30/2011","100","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/31/2011","150","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/01/2011","74","","RIVER TERRACE","11-001-0041","AQS"
"06/02/2011","97","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/03/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/04/2011","108","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/05/2011","93","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/06/2011","93","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/07/2011","93","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/08/2011","143","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/09/2011","122","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/10/2011","166","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/11/2011","101","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/12/2011","77","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/13/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/14/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/15/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/16/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/17/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/18/2011","80","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/19/2011","97","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/20/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/21/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/22/2011","46","","RIVER TERRACE","11-001-0041","AQS"
"06/23/2011","38","","RIVER TERRACE","11-001-0041","AQS"
"06/24/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/25/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/26/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/27/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/28/2011","80","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/29/2011","77","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/30/2011","74","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/01/2011","119","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/02/2011","151","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/03/2011","100","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/04/2011","74","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/05/2011","108","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/06/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/07/2011","154","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/08/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/09/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/10/2011","100","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/11/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/12/2011","87","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/13/2011","74","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/14/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/15/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/16/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/17/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/18/2011","108","","RIVER TERRACE","11-001-0041","AQS"
"07/19/2011","77","","RIVER TERRACE","11-001-0041","AQS"
"07/20/2011","136","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/21/2011","87","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/22/2011","143","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/23/2011","112","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/24/2011","71","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/25/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/26/2011","100","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/27/2011","50","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/28/2011","136","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/29/2011","100","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/30/2011","77","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/31/2011","84","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/01/2011","119","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/02/2011","77","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/03/2011","39","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/04/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/05/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/06/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/07/2011","50","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/08/2011","74","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/09/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/10/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/11/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/12/2011","84","","RIVER TERRACE","11-001-0041","AQS"
"08/13/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"08/14/2011","38","","RIVER TERRACE","11-001-0041","AQS"
"08/15/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"08/16/2011","37","","RIVER TERRACE","11-001-0041","AQS"
"08/17/2011","51","","RIVER TERRACE","11-001-0041","AQS"
"08/18/2011","54","","RIVER TERRACE","11-001-0041","AQS"
"08/19/2011","84","","RIVER TERRACE","11-001-0041","AQS"
"08/20/2011","90","","RIVER TERRACE","11-001-0041","AQS"
"08/21/2011","43","","RIVER TERRACE","11-001-0041","AQS"
"08/22/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/23/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/24/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/25/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/26/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/27/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/28/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/29/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/30/2011","47","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/31/2011","97","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/01/2011","80","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/02/2011","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/03/2011","47","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/04/2011","61","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/05/2011","41","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/06/2011","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/07/2011","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/08/2011","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/09/2011","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/10/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/11/2011","50","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/12/2011","61","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/13/2011","71","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/14/2011","77","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/15/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/16/2011","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/17/2011","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/18/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/19/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/20/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/21/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/22/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/23/2011","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/24/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/25/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/26/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/27/2011","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/28/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/29/2011","39","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/30/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/01/2011","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/02/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"10/03/2011","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/04/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/05/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/06/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/07/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/08/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/09/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/10/2011","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/11/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/12/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/13/2011","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/14/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/15/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/16/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/17/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/18/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/19/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/20/2011","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/21/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/22/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/23/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/24/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/25/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/26/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/27/2011","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/28/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/29/2011","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/30/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/31/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/01/2011","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/02/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/03/2011","33","","RIVER TERRACE","11-001-0041","AQS"
"11/04/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/05/2011","24","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/06/2011","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/07/2011","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/08/2011","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/09/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/10/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/11/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/12/2011","33","","RIVER TERRACE","11-001-0041","AQS"
"11/13/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"11/14/2011","35","","RIVER TERRACE","11-001-0041","AQS"
"11/15/2011","30","","RIVER TERRACE","11-001-0041","AQS"
"11/16/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/17/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/18/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/19/2011","30","","RIVER TERRACE","11-001-0041","AQS"
"11/20/2011","29","","RIVER TERRACE","11-001-0041","AQS"
"11/21/2011","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/22/2011","20","","RIVER TERRACE","11-001-0041","AQS"
"11/23/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"11/24/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/25/2011","21","","RIVER TERRACE","11-001-0041","AQS"
"11/26/2011","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/27/2011","31","","RIVER TERRACE","11-001-0041","AQS"
"11/28/2011","28","","RIVER TERRACE","11-001-0041","AQS"
"11/29/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/30/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/01/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/02/2011","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/03/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"12/04/2011","24","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/05/2011","24","","RIVER TERRACE","11-001-0041","AQS"
"12/06/2011","23","","RIVER TERRACE","11-001-0041","AQS"
"12/07/2011","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/08/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/09/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/10/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/11/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/12/2011","11","","RIVER TERRACE","11-001-0041","AQS"
"12/13/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/14/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"12/15/2011","29","","RIVER TERRACE","11-001-0041","AQS"
"12/16/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"12/17/2011","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/18/2011","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/19/2011","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/20/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/21/2011","12","","RIVER TERRACE","11-001-0041","AQS"
"12/22/2011","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/23/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/24/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/25/2011","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/26/2011","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/27/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"12/28/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
